
2018-05-12 00:00:08	http://www.lianzushipin.com
http://www.lianzushipin.com	管理组：['管理员', '超级版主', '版主', '实习版主', '网站编辑', '信息监察员', '审核员']
http://www.lianzushipin.com	成功收听	48738
http://www.lianzushipin.com	48738	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48738	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48739
http://www.lianzushipin.com	48739	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48739	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48740
http://www.lianzushipin.com	48740	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48740	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48741
http://www.lianzushipin.com	48741	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48741	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48742
http://www.lianzushipin.com	48742	已发送冰火双剑下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48742	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48743
http://www.lianzushipin.com	48743	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48743	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48744
http://www.lianzushipin.com	48744	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48744	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48745
http://www.lianzushipin.com	48745	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48745	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48746
http://www.lianzushipin.com	48746	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48746	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48747
http://www.lianzushipin.com	48747	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48747	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48748
http://www.lianzushipin.com	48748	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48748	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48749
http://www.lianzushipin.com	48749	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48749	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48750
http://www.lianzushipin.com	48750	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48750	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48751
http://www.lianzushipin.com	48751	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48751	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48752
http://www.lianzushipin.com	48752	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48752	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48753
http://www.lianzushipin.com	48753	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48753	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48754
http://www.lianzushipin.com	48754	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48754	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48755
http://www.lianzushipin.com	48755	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48755	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48756
http://www.lianzushipin.com	48756	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48756	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48757
http://www.lianzushipin.com	48757	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48757	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48758
http://www.lianzushipin.com	48758	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48758	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48759
http://www.lianzushipin.com	48759	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48759	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48760
http://www.lianzushipin.com	48760	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48760	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48761
http://www.lianzushipin.com	48761	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48761	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48762
http://www.lianzushipin.com	48762	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48762	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48763
http://www.lianzushipin.com	48763	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48763	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48764
http://www.lianzushipin.com	48764	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48764	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	成功收听	48765
http://www.lianzushipin.com	48765	已发送下次访问时会收到通知如果您的浏览器没有自动跳转请点击此链接
http://www.lianzushipin.com	48765	好友请求已发送请等待对方验证如果您的浏览器没有自动跳转请点击此链接
